Name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Played
1,0.778,0.33,7,-15.349,1,0.0723,0.242,0.503,0.12,0.464,107.943,115827,4,0
2,0.883,0.409,1,-16.57,1,0.062,0.137,0.076,0.257,0.0481,122.006,128568,4,0
3,0.836,0.431,7,-10.922,0,0.194,0.382,0.16,0.112,0.422,150.058,104064,4,0
4,0.746,0.715,11,-9.706,0,0.157,0.0724,0.309,0.62,0.473,110.056,143976,4,0
5,0.772,0.214,5,-15.004,0,0.0432,0.836,0.0828,0.112,0.139,114.961,134736,4,0
6,0.789,0.325,4,-14.836,0,0.0561,0.723,0.0151,0.134,0.571,91.105,127556,4,0
7,0.623,0.498,5,-11.201,1,0.336,0.434,0,0.107,0.208,132,102216,4,0
8,0.666,0.726,3,-8.906,0,0.0444,0.0037,0.00103,0.111,0.153,108.129,107736,5,0
9,0.497,0.153,5,-20.285,1,0.0306,0.865,0.951,0.115,0.541,150.791,77832,3,0
10,0.658,0.299,5,-13.38,1,0.0672,0.732,0.0459,0.119,0.0799,120.026,103750,4,0
11,0.713,0.297,11,-13.035,0,0.12,0.144,0.111,0.108,0.0356,105.022,146496,4,0
12,0.494,0.27,1,-18.747,0,0.0545,0.411,0.767,0.269,0.0654,126.758,189720,5,0
13,0.52,0.703,1,-7.908,1,0.0396,0.00752,0,0.164,0.359,99.963,109688,4,0
14,0.627,0.444,7,-11.149,1,0.0747,0.00178,0.000211,0.12,0.249,142.109,117394,4,0
15,0.606,0.358,2,-12.706,1,0.0292,0.582,0.161,0.0779,0.086,143.997,141192,4,0
16,0.809,0.545,2,-11.488,1,0.0432,0.128,0.594,0.187,0.156,109.971,139755,4,0
17,0.788,0.368,0,-16.292,1,0.0462,0.358,0.473,0.164,0.535,120.2,169056,4,0
18,0.807,0.599,5,-11.022,0,0.0802,0.369,4.65E-05,0.26,0.737,147.971,146730,4,0
19,0.599,0.345,0,-13.373,1,0.0285,0.252,0.00313,0.0792,0.333,109.052,167732,4,0
20,0.773,0.278,1,-14.78,1,0.105,0.297,8.91E-05,0.0918,0.0373,96.994,175308,4,1
21,0.701,0.424,7,-14,0,0.0279,0.34,0.0137,0.111,0.277,113.532,101437,4,0
22,0.646,0.52,9,-11.892,0,0.0313,0.00322,7.12E-05,0.102,0.417,122.012,141500,4,0
23,0.725,0.52,0,-12.884,1,0.0356,0.0255,0.025,0.17,0.169,100.018,143909,4,0
24,0.674,0.316,11,-13.933,0,0.0539,0.659,0.129,0.0984,0.0578,100.003,130217,4,0
25,0.703,0.171,11,-15.577,0,0.0869,0.821,0.916,0.129,0.076,153.964,154489,4,0
26,0.807,0.269,1,-14.226,1,0.0973,0.326,0.119,0.122,0.238,129.912,74736,4,0
27,0.713,0.436,1,-7.966,1,0.0615,0.00425,0.00456,0.108,0.0394,82.029,163250,4,0
28,0.886,0.539,5,-9.079,0,0.0913,0.0323,0.211,0.081,0.177,142.046,181824,4,0
